name,areas,hIndex,available
Орлов_1,distributed systems;machine learning,20,n
Морозов_2,databases;computer vision;software engineering,7,n
Михайлов_3,algorithms;databases,8,y
Александров_4,data science;artificial intelligence;machine learning,9,n
Петров_5,algorithms;data science,25,n
Федоров_6,databases;software engineering;artificial intelligence,24,y
Орлов_7,data science;software engineering;databases,23,y
Кузнецов_8,data science,29,n
Орлов_9,algorithms;computer vision,7,n
Васильев_10,computer vision;machine learning;artificial intelligence,5,n
Новиков_11,artificial intelligence;machine learning;software engineering,27,y
Степанов_12,algorithms;distributed systems,20,n
Степанов_13,algorithms;data science;machine learning,5,n
Орлов_14,artificial intelligence;software engineering;algorithms,28,y
Попов_15,software engineering;data science;machine learning,6,n
Сидоров_16,distributed systems;machine learning;artificial intelligence,10,n
Зайцев_17,algorithms,22,n
Михайлов_18,software engineering,7,y
Александров_19,computer vision;distributed systems,17,n
Яковлев_20,databases,8,n
