title,topic,doi,year
Deep Learning Approaches,Machine Learning,10.1000/deep_learning_approaches,2021
Vision Transformers Survey,Computer Vision,10.1000/vision_transformers_survey,2022
Big Data Analysis,Data Science,10.1000/big_data_analysis,2020
AI Ethics and Policy,Artificial Intelligence,10.1000/ai_ethics_and_policy,2023
Functional Programming Paradigms,Algorithms,10.1000/functional_programming_paradigms,2024
Graph Algorithms,Algorithms,10.1000/graph_algorithms,2022
Neural Network Optimization,Machine Learning,10.1000/neural_network_optimization,2023
Generative Adversarial Networks,Machine Learning,10.1000/generative_adversarial_networks,2022
Self-Supervised Learning,Machine Learning,10.1000/self_supervised_learning,2023
Explainable AI,Artificial Intelligence,10.1000/explainable_ai,2021
