name,areas,hIndex,available
Smith_1,machine learning;ml,15,y
Johnson_2,data science;ds,18,n
Williams_3,computer vision;cv,22,y
Brown_4,algorithms;algo,12,y
Jones_5,machine learning;ml,9,n
Garcia_6,databases;db,25,y
Miller_7,distributed systems;dsys,17,y
Davis_8,software engineering;se,14,n
Rodriguez_9,algorithms;algo,30,y
Martinez_10,computer vision;cv,11,n
Hernandez_11,data science;ds,28,y
Lopez_12,software engineering;se,13,y
Gonzalez_13,machine learning;ml,19,n
Wilson_14,artificial intelligence;ai,16,y
Anderson_15,data science;ds,21,n
Thomas_16,algorithms;algo,23,y
Taylor_17,machine learning;ml,12,y
Moore_18,computer vision;cv,29,n
Jackson_19,data science;ds,14,y
Martin_20,software engineering;se,26,y
